FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length,District_Split
4143,NOTTI3, ,248,Nottingham Path,NOTTINGHAM PATH,1,PUBLIC WAY, ,LO,0,0,248,9,2-04,2-04,0, ,102.40996539382,['2-04']
4144,NOYES1, ,153,Noyes Pl,NOYES PL,1,PRIVATE WAY, ,LO,0,0,153,1,1-1B,1-1B,0, ,63.0027438125498,['1-1B']
4145,O ST 1, ,2344,O St,O ST,1,PUBLIC WAY, ,LO,0,0,2344,2,3-05,3-05,1, ,968.7066857473351,['3-05']
4146,O STR1, ,143,O Street Pl,O ST PL,1,PRIVATE WAY, ,LO,0,0,143,2,3-05,3-05,1, ,58.9379827977596,['3-05']
4147,OAK H1, ,133,Oak Hill Ave,OAK HILL AV,1,PRIVATE WAY, ,LO,0,0,133,4,3-07,3-07,0, ,54.5731675632921,['3-07']
4148,OAK P1, ,269,Oak Pl,OAK PL HP,1,PRIVATE WAY, ,LO,0,0,269,5,2-08,2-08,1, ,110.883264511205,['2-08']
4149,OAK R1, ,720,Oak Rd,OAK RD,1,PRIVATE WAY, ,LO,0,0,720,6,2-06,2-06,0, ,296.84110384154997,['2-06']
4150,OAK S1, ,1000,Oak Square Ave,OAK SQ AV,1,PUBLIC WAY, ,LO,0,0,1000,9,2-04,2-04,0, ,413.255032010669,['2-04']
4151,OAK S2, ,605,Oak St,OAK ST BP,1,PUBLIC WAY, ,AR,0,0,605,2,1-1C,1-1C,0, ,249.052818048283,['1-1C']
4152,OAK S3, ,457,Oak St,OAK ST CH,1,PUBLIC WAY, ,LO,0,0,457,1,1-1A,1-1A,0, ,188.746481000342,['1-1A']
4153,OAK S4, ,1417,Oak St,OAK ST HP,1,PUBLIC WAY, ,LO,0,0,1417,5,2-08,2-08,0, ,583.545507916895,['2-08']
4154,OAK S5, ,407,Oak Street West,OAK ST WEST,1,PUBLIC WAY, ,LO,0,0,407,2,1-1C,1-1C,0, ,167.791256826553,['1-1C']
4155,OAK S6, ,512,Oak Sq,OAK SQ,1,PUBLIC WAY, ,LO,0,0,512,9,2-04,2-04,0, ,211.167154848891,['2-04']
4156,OAKCR1, ,877,Oakcrest Rd,OAKCREST RD,1,PUBLIC WAY, ,LO,0,0,877,5,2-08,2-08,0, ,361.39673248400703,['2-08']
4157,OAKDA1, ,287,Oakdale Pl,OAKDALE PL,1,PUBLIC WAY, ,LO,0,0,287,6,2-02,2-02,0, ,118.190887256966,['2-02']
4158,OAKDA2, ,788,Oakdale St,OAKDALE ST,1,PUBLIC WAY, ,LO,0,0,788,6,2-02,2-02,0, ,325.286988832712,['2-02']
4159,OAKHU1, ,571,Oakhurst St,OAKHURST ST,1,PUBLIC WAY, ,LO,0,0,571,4,3-07,3-07,0, ,234.811991817769,['3-07']
4160,OAKLA1, ,1724,Oakland St,OAKLAND ST BR,1,PUBLIC WAY, ,LO,0,0,1724,9,2-04,2-04,0, ,711.753355873829,['2-04']
4161,OAKLA2, ,321,Oakland St,OAKLAND ST RX,1,PUBLIC WAY, ,LO,0,0,321,7,1-10B,1-10B,1, ,132.233402687264,['1-10B']
4162,OAKLA3, ,255,Oakland Ct,OAKLAND CT,1,PRIVATE WAY, ,LO,0,0,255,4,"2-08, 3-07","2-08, 3-07",0, ,105.228244959935,"['2-08', ' 3-07']"
4163,OAKLA4, ,74,Oakland Park,OAKLAND PARK,1,PRIVATE WAY, ,LO,0,0,74,7,1-10B,1-10B,1, ,30.7025854781322,['1-10B']
4164,OAKLA5, ,123,Oakland Pl,OAKLAND PL,1,PRIVATE WAY, ,LO,0,0,123,9,2-04,2-04,0, ,50.7248182619238,['2-04']
4165,OAKLE1, ,883,Oakley St,OAKLEY ST,1,PUBLIC WAY, ,LO,0,0,883,4,3-03,3-03,1, ,363.252113733384,['3-03']
4166,OAKMA1, ,324,Oakman St,OAKMAN ST,1,PUBLIC WAY, ,LO,0,0,324,3,3-07,3-07,0, ,133.672959259425,['3-07']
4167,OAKME1, ,1222,Oakmere St,OAKMERE ST,1,PUBLIC WAY, ,LO,0,0,1222,6,2-06,2-06,0, ,503.16016071417,['2-06']
4168,OAKRI1, ,855,Oakridge St,OAKRIDGE ST,1,PUBLIC WAY, ,LO,0,0,855,3,3-07,3-07,0, ,353.09670168038497,['3-07']
4169,OAKTO1, ,1503,Oakton Ave,OAKTON AV,1,PUBLIC WAY, ,LO,0,0,1503,3,3-07,3-07,0, ,618.460307481056,['3-07']
4170,OAKVI1, ,897,Oakview Ter,OAKVIEW TER,1,PUBLIC WAY, ,LO,0,0,897,6,2-02,2-02,1, ,369.75282919106104,['2-02']
4171,OAKVI2, ,120,Oakview Ave,OAKVIEW AV,1,PRIVATE WAY, ,LO,0,0,120,7,1-10B,1-10B,0, ,49.581329255388496,['1-10B']
4172,OAKVI3, ,132,Oakville Ave,OAKVILLE AV,1,PRIVATE WAY, ,LO,0,0,132,7,1-10B,1-10B,0, ,54.4816017251801,['1-10B']
4173,OAKWO1, ,665,Oakwood St,OAKWOOD ST DO,1,PUBLIC WAY, ,LO,0,0,665,4,3-07,3-07,0, ,274.356915261099,['3-07']
4174,OAKWO2, ,797,Oakwood St,OAKWOOD ST HP,1,PRIVATE WAY, ,LO,0,0,797,5,2-08,2-08,0, ,328.05379682421,['2-08']
4175,OBRIE1, ,386,O'Brien Ct,O'BRIEN CT,1,PRIVATE WAY, ,LO,0,0,386,1,1-1A,1-1A,1, ,159.401047740158,['1-1A']
4176,OCEAN1, ,1374,Ocean St,OCEAN ST,1,PUBLIC WAY, ,LO,0,0,1374,4,3-07,3-07,0, ,567.269465367836,['3-07']
4177,OCEAN2, ,1610,Ocean View Dr,OCEAN VIEW DR,1,PRIVATE WAY, ,LO,0,0,1610,3,3-03,3-03,0, ,663.1593118440701,['3-03']
4178,OCONN1, ,732,O'Connell Rd,O'CONNELL RD,1,PUBLIC WAY, ,LO,0,0,732,3,3-07,3-07,0, ,301.606774093909,['3-07']
4179,ODONN1, ,242,O'Donnell Ter,O'DONNELL TR,1,PUBLIC WAY, ,LO,0,0,242,3,3-07,3-07,1, ,99.9040933038335,['3-07']
4180,OGDEN1, ,479,Ogden St,OGDEN ST,1,PUBLIC WAY, ,LO,0,0,479,3,3-07,3-07,1, ,197.722633944357,['3-07']
4181,OLD C1, ,363,Old Colony Ave,OLD COLONY AV,1,DCR, ,AR,0,0,363,3,"3-03, 3-05","3-03, 3-05",1, ,149.560526312971,"['3-03', ' 3-05']"
4182,OLD C2, ,3651,Old Colony Ave,OLD COLONY AV NB,1,PUBLIC WAY, ,AR,0,0,3651,2,3-05,3-05,1, ,1507.35722474712,['3-05']
4183,OLD C3, ,6302,Old Colony Ave,OLD COLONY AV SB,1,PUBLIC WAY, ,AR,0,0,6302,2,3-05,3-05,1, ,2602.9779930039604,['3-05']
4184,OLD C4, ,291,Old Colony Ter,OLD COLONY TER,1,PUBLIC WAY, ,LO,0,0,291,3,3-03,3-03,0, ,119.72527944531299,['3-03']
4185,OLD H1, ,1632,Old Harbor St,OLD HARBOR ST,1,PUBLIC WAY, ,CO,0,0,1632,2,3-05,3-05,0, ,674.307022034482,['3-05']
4186,OLD I1, ,1073,Old Ironsides Way,OLD IRONSIDE WAY,1,PUBLIC WAY, ,LO,0,0,1073,1,1-1A,1-1A,0, ,443.039626052424,['1-1A']
4187,OLD L1, ,871,Old Landing Way,OLD LANDING WAY,1,PUBLIC WAY, ,LO,0,0,871,1,1-1A,1-1A,1, ,359.529247631608,['1-1A']
4188,OLD M1, ,1141,Old Morton St,OLD MORTON ST,1,PUBLIC WAY, ,LO,0,0,1141,3,3-07,3-07,1, ,470.88972322105303,['3-07']
4189,OLD R1, ,651,Old Rd,OLD RD,1,PUBLIC WAY, ,LO,0,0,651,4,3-03,3-03,0, ,268.87036535117994,['3-03']
4190,OLD R2, ,1738,Rutherford Ave,RUTHERFORD AV,1,PUBLIC WAY, ,AR,0,0,1738,1,1-1A,1-1A,0, ,379.861496517077,['1-1A']
4191,OLD T1, ,845,Old Trail Rd,OLD TRAIL RD,1,PUBLIC WAY, ,LO,0,0,845,7,"1-10B, 2-02","1-10B, 2-02",1, ,348.621669493404,"['1-10B', ' 2-02']"
4192,OLDFI1, ,521,Oldfields Rd,OLDFIELDS RD,1,PUBLIC WAY, ,LO,0,0,521,4,3-03,3-03,1, ,215.03021019568902,['3-03']
4193,OLEAN1, ,200,Oleander St,OLEANDER ST,1,PUBLIC WAY, ,LO,0,0,200,7,3-03,3-03,1, ,82.15924035222429,['3-03']
4194,OLEAR1, ,280,O'Leary Way,O'LEARY WAY,1,PRIVATE WAY, ,LO,0,0,280,6,2-02,2-02,0, ,115.565303938814,['2-02']
4195,OLIVA1, ,385,Oliva Rd,OLIVA RD,1,PUBLIC WAY, ,LO,0,0,385,9,2-04,2-04,1, ,158.692541358129,['2-04']
4196,OLIVE1, ,1085,Oliver St,OLIVER ST,1,PUBLIC WAY, ,LO,0,0,1085,1,1-1C,1-1C,1, ,449.728800191519,['1-1C']
4197,OLIVE2, ,215,Olive St,OLIVE ST,1,PRIVATE WAY, ,LO,0,0,215,9,2-04,2-04,0, ,88.60355883015741,['2-04']
4198,OLMST1, ,587,Olmstead St,OLMSTED ST,1,PUBLIC WAY, ,LO,0,0,587,7,2-02,2-02,0, ,242.211426453692,['2-02']
4199,OLNEY1, ,2142,Olney St,OLNEY ST,1,PUBLIC WAY, ,LO,0,0,2142,4,3-03,3-03,0, ,882.2651226551931,['3-03']
4200,OMEAR1, ,507,O'Meara Ct,O'MEARA CT,1,PRIVATE WAY, ,LO,0,0,507,1,1-1A,1-1A,0, ,209.36115550278402,['1-1A']
4201,ONEIL1, ,129,O'Neil Pl,O'NEIL PL,1,PRIVATE WAY, ,LO,0,0,129,9,2-04,2-04,0, ,53.2986908167431,['2-04']
4202,ONSLO1, ,90,Onslow Ter,ONSLOW TER,1,PRIVATE WAY, ,LO,0,0,90,2,3-05,3-05,1, ,37.1492544428171,['3-05']
4203,OPERA1, ,235,Opera Pl,OPERA PL,1,PUBLIC WAY, ,LO,0,0,235,8,1-10A,1-10A,1, ,96.8824415694022,['1-10A']
4204,OPHIR1, ,580,Ophir St,OPHIR ST,1,PUBLIC WAY, ,LO,0,0,580,6,2-02,2-02,1, ,239.00469144642798,['2-02']
4205,ORANG1, ,2860,Orange St,ORANGE ST,1,PUBLIC WAY, ,LO,0,0,2860,5,2-06,2-06,1, ,1179.4590636017501,['2-06']
4206,ORCHA1, ,300,Orchard Park St,ORCHARD PARK ST,1,PUBLIC WAY, ,LO,0,0,300,7,1-10B,1-10B,0, ,124.044298893725,['1-10B']
4207,ORCHA2, ,156,Orchard Rd,ORCHARD RD,1,PUBLIC WAY, ,LO,0,0,156,9,2-04,2-04,0, ,64.2053663930335,['2-04']
4208,ORCHA3, ,1703,Orchard St,ORCHARD ST JP,1,PUBLIC WAY, ,LO,0,0,1703,6,2-02,2-02,0, ,703.309001045578,['2-02']
4209,ORCHA5, ,854,Orchardfield St,ORCHARDFIELD ST,1,PUBLIC WAY, ,LO,0,0,854,3,3-03,3-03,0, ,351.54285204838095,['3-03']
4210,ORCHA7, ,197,Orchardale St,ORCHARDALE ST,1,PRIVATE WAY, ,LO,0,0,197,4,3-03,3-03,1, ,81.4364279481417,['3-03']
4211,ORCHA8, ,417,Orchard St,ORCHARD ST HP,1,PRIVATE WAY, ,LO,0,0,417,5,2-08,2-08,1, ,171.828787635317,['2-08']
4212,ORDWA1, ,147,Ordway Pl,ORDWAY PL,1,PRIVATE WAY, ,LO,0,0,147,1,1-1C,1-1C,1, ,60.61145643681021,['1-1C']
4213,OREGO1, ,512,Oregon Ct,OREGON CT,1,PRIVATE WAY, ,LO,0,0,512,8,1-10A,1-10A,0, ,211.56911596495,['1-10A']
4214,OREIL1, ,794,O'Reilly Way,O'REILLY WY,1,PRIVATE WAY, ,LO,0,0,794,1,1-1A,1-1A,0, ,327.279849344842,['1-1A']
4215,ORGAN1, ,300,Organ Park St,ORGAN PARK ST,1,PUBLIC WAY, ,LO,0,0,300,6,2-02,2-02,1, ,123.625749165261,['2-02']
4216,ORIEN1, ,3478,Orient Ave,ORIENT AV,1,PUBLIC WAY, ,CO,0,0,3478,1,1-09,1-09,1, ,1433.79172036113,['1-09']
4217,ORIOL1, ,1345,Oriole St,ORIOLE ST,1,PUBLIC WAY, ,LO,0,0,1345,6,2-06,2-06,0, ,554.286803611368,['2-06']
4218,ORKNE1, ,861,Orkney Rd,ORKNEY RD,1,PUBLIC WAY, ,LO,0,0,861,9,2-04,2-04,0, ,354.510254270788,['2-04']
4219,ORLEA1, ,2367,Orleans St,ORLEANS ST,1,PUBLIC WAY, ,CO,0,0,2367,1,1-09,1-09,1, ,977.547719904003,['1-09']
4220,ORMON1, ,1861,Ormond St,ORMOND ST,1,PUBLIC WAY, ,CO,0,0,1861,4,3-07,3-07,1, ,767.549264007802,['3-07']
4221,ORNE 1, ,253,Orne St,ORNE ST,1,PRIVATE WAY, ,LO,0,0,253,3,3-07,3-07,0, ,104.018044887415,['3-07']
4222,ORTON1, ,1110,Orton-Marotta Way,ORTON-MAROTTA WAY,1,PRIVATE WAY, ,LO,0,0,1110,2,3-05,3-05,1, ,457.593910442557,['3-05']
4223,OSCAR1, ,272,Oscar St,OSCAR ST,1,PUBLIC WAY, ,LO,0,0,272,8,1-10A,1-10A,1, ,112.270645805476,['1-10A']
4224,OSCEO1, ,1053,Osceola St,OSCEOLA ST,1,PUBLIC WAY, ,LO,0,0,1053,5,2-08,2-08,0, ,434.114962161577,['2-08']
4225,OSGOO1, ,109,Osgood Ct,OSGOOD CT,1,PRIVATE WAY, ,LO,0,0,109,7,1-10B,1-10B,1, ,44.787724549151704,['1-10B']
4226,OSWAL1, ,329,Oswald St,OSWALD ST,1,PUBLIC WAY, ,LO,0,0,329,8,1-10A,1-10A,1, ,135.857697687829,['1-10A']
4227,OTIS 1, ,187,Otis Pl,OTIS PL BP,1,PRIVATE WAY, ,LO,0,0,187,8,1-1B,1-1B,0, ,77.13328398850209,['1-1B']
4228,OTIS 2, ,479,Otis St,OTIS ST,1,PUBLIC WAY, ,LO,0,0,479,1,1-1C,1-1C,1, ,197.745070759056,['1-1C']
4229,OTIS 3, ,246,Otis Pl,OTIS PL WR,1,PRIVATE WAY, ,LO,0,0,246,5,2-06,2-06,0, ,101.558673969394,['2-06']
4230,OTISF1, ,504,Otisfield St,OTISFIELD ST,1,PUBLIC WAY, ,LO,0,0,504,7,"1-10B, 3-03","1-10B, 3-03",1, ,208.09766269819698,"['1-10B', ' 3-03']"
4231,OUTLO1, ,774,Outlook Rd,OUTLOOK RD,1,PUBLIC WAY, ,LO,0,0,774,4,3-07,3-07,1, ,319.095821786351,['3-07']
4232,OVERL1, ,425,Overland St,OVERLAND ST,1,PUBLIC WAY, ,LO,0,0,425,8,1-10A,1-10A,0, ,175.33962177163502,['1-10A']
4233,OVERL2, ,1201,Overlook Rd,OVERLOOK RD,1,PRIVATE WAY, ,LO,0,0,1201,6,2-06,2-06,0, ,495.277582951826,['2-06']
4234,OWEN 1, ,330,Owen St,OWEN ST,1,PUBLIC WAY, ,LO,0,0,330,4,3-07,3-07,1, ,136.121604806639,['3-07']
4235,OWENC1, ,724,Owencroft Rd,OWENCROFT RD,1,PUBLIC WAY, ,LO,0,0,724,3,3-07,3-07,1, ,298.921138217471,['3-07']
4236,OXFOR1, ,266,Oxford Pl,OXFORD PL,1,PRIVATE WAY, ,LO,0,0,266,2,1-1C,1-1C,1, ,109.85992850066799,['1-1C']
4237,OXFOR2, ,465,Oxford St,OXFORD ST,1,PUBLIC WAY, ,LO,0,0,465,2,1-1C,1-1C,1, ,192.033680924793,['1-1C']
4238,OYSTE1, ,503,Oyster Bay Rd,OYSTER BAY RD,1,PRIVATE WAY, ,LO,0,0,503,3,3-03,3-03,0, ,207.529653623021,['3-03']
4239,P ST 1, ,2073,P St,P ST,1,PUBLIC WAY, ,LO,0,0,2073,2,3-05,3-05,1, ,856.802866434444,['3-05']
4240,PA0101, ,347,Public Alley No 101,PUBLIC ALLEY 101,1,PUBLIC WAY, ,LO,0,0,347,1,1-1B,1-1B,1, ,143.23894855082702,['1-1B']
4241,PA0102, ,218,Public Alley No 102,PUBLIC ALLEY 102,1,PUBLIC WAY, ,LO,0,0,218,1,1-1B,1-1B,1, ,90.0454346959932,['1-1B']
4242,PA0301, ,425,Public Alley No 301,PUBLIC ALLEY 301,1,PUBLIC WAY, ,LO,0,0,425,8,1-1B,1-1B,1, ,175.432054394925,['1-1B']
4243,PA0303, ,70,Public Alley No 303,PUBLIC ALLEY 303,1,PUBLIC WAY, ,LO,0,0,70,8,1-1B,1-1B,1, ,28.958375357072395,['1-1B']
4244,PA0401, ,262,Public Alley No 401,PUBLIC ALLEY 401,1,PUBLIC WAY, ,LO,0,0,262,2,1-1C,1-1C,1, ,108.15284595871,['1-1C']
4245,PA0402, ,539,Public Alley No 402,PUBLIC ALLEY 402,1,PUBLIC WAY, ,LO,0,0,539,2,1-1C,1-1C,1, ,222.24854985551002,['1-1C']
4246,PA0403, ,514,Public Alley No 403,PUBLIC ALLEY 403,1,PUBLIC WAY, ,LO,0,0,514,7,1-1C,1-1C,1, ,211.903330336207,['1-1C']
4247,PA0404, ,623,Public Alley No 404,PUBLIC ALLEY 404,1,PUBLIC WAY, ,LO,0,0,623,7,1-1C,1-1C,1, ,256.88160652097,['1-1C']
4248,PA0405, ,278,Public Alley No 405,PUBLIC ALLEY 405,1,PUBLIC WAY, ,LO,0,0,347,7,1-1C,1-1C,1, ,114.53584923084999,['1-1C']
4249,PA0414, ,717,Public Alley No 414,PUBLIC ALLEY 414,1,PUBLIC WAY, ,LO,0,0,717,8,1-1C,1-1C,0, ,295.27773420696303,['1-1C']
4250,PA0415, ,431,Public Alley No 415,PUBLIC ALLEY 415,1,PUBLIC WAY, ,LO,0,0,431,8,1-1C,1-1C,0, ,177.649465847197,['1-1C']
4251,PA0416, ,561,Public Alley No 416,PUBLIC ALLEY 416,1,PUBLIC WAY, ,LO,0,0,561,8,1-1C,1-1C,1, ,231.28306203202098,['1-1C']
4252,PA0417, ,659,Public Alley No 417,PUBLIC ALLEY 417,1,PUBLIC WAY, ,LO,0,0,659,8,1-1C,1-1C,1, ,271.611665887021,['1-1C']
4253,PA0418, ,620,Public Alley No 418,PUBLIC ALLEY 418,1,PUBLIC WAY, ,LO,0,0,620,8,1-1C,1-1C,1, ,255.388857386299,['1-1C']
4254,PA0419, ,613,Public Alley No 419,PUBLIC ALLEY 419,1,PUBLIC WAY, ,LO,0,0,613,8,1-1C,1-1C,1, ,252.767595614897,['1-1C']
4255,PA0420, ,622,Public Alley No 420,PUBLIC ALLEY 420,1,PUBLIC WAY, ,LO,0,0,622,8,1-1C,1-1C,1, ,256.195360714034,['1-1C']
4256,PA0421, ,676,Public Alley No 421,PUBLIC ALLEY 421,1,PUBLIC WAY, ,LO,0,0,676,8,1-1C,1-1C,1, ,278.577552522444,['1-1C']
4257,PA0422, ,675,Public Alley No 422,PUBLIC ALLEY 422,1,PUBLIC WAY, ,LO,0,0,675,8,1-1C,1-1C,1, ,278.283905694738,['1-1C']
4258,PA0423, ,619,Public Alley No 423,PUBLIC ALLEY 423,1,PUBLIC WAY, ,LO,0,0,619,8,1-1C,1-1C,1, ,254.95723845403802,['1-1C']
4259,PA0424, ,614,Public Alley No 424,PUBLIC ALLEY 424,1,PUBLIC WAY, ,LO,0,0,614,8,1-1C,1-1C,1, ,253.006730213204,['1-1C']
4260,PA0425, ,621,Public Alley No 425,PUBLIC ALLEY 425,1,PUBLIC WAY, ,LO,0,0,621,8,1-1C,1-1C,1, ,255.89187415428398,['1-1C']
4261,PA0426, ,660,Public Alley No 426,PUBLIC ALLEY 426,1,PUBLIC WAY, ,LO,0,0,660,8,1-1C,1-1C,1, ,271.781828136605,['1-1C']
4262,PA0427, ,563,Public Alley No 427,PUBLIC ALLEY 427,1,PUBLIC WAY, ,LO,0,0,563,8,1-1C,1-1C,1, ,231.908494520946,['1-1C']
4263,PA0428, ,431,Public Alley No 428,PUBLIC ALLEY 428,1,PUBLIC WAY, ,LO,0,0,431,8,1-1C,1-1C,0, ,177.56035626332297,['1-1C']
4264,PA0429, ,716,Public Alley No 429,PUBLIC ALLEY 429,1,PUBLIC WAY, ,LO,0,0,716,8,1-1C,1-1C,1, ,294.831480738792,['1-1C']
4265,PA0430, ,714,Public Alley No 430,PUBLIC ALLEY 430,1,PUBLIC WAY, ,LO,0,0,714,8,1-1C,1-1C,1, ,294.05850482797297,['1-1C']
4266,PA0431, ,436,Public Alley No 431,PUBLIC ALLEY 431,1,PUBLIC WAY, ,LO,0,0,436,8,1-1C,1-1C,1, ,179.52201937779702,['1-1C']
4267,PA0432, ,561,Public Alley No 432,PUBLIC ALLEY 432,1,PUBLIC WAY, ,LO,0,0,561,8,1-1C,1-1C,1, ,231.313892059282,['1-1C']
4268,PA0433, ,659,Public Alley No 433,PUBLIC ALLEY 433,1,PUBLIC WAY, ,LO,0,0,659,8,1-1C,1-1C,1, ,271.624747953182,['1-1C']
4269,PA0434, ,623,Public Alley No 434,PUBLIC ALLEY 434,1,PUBLIC WAY, ,LO,0,0,623,8,1-1C,1-1C,0, ,256.649375317434,['1-1C']
4270,PA0435, ,613,Public Alley No 435,PUBLIC ALLEY 435,1,PUBLIC WAY, ,LO,0,0,613,8,1-1C,1-1C,0, ,252.707239084866,['1-1C']
4271,PA0436, ,619,Public Alley No 436,PUBLIC ALLEY 436,1,PUBLIC WAY, ,LO,0,0,619,8,1-1C,1-1C,1, ,254.85639455188,['1-1C']
4272,PA0437, ,675,Public Alley No 437,PUBLIC ALLEY 437,1,PUBLIC WAY, ,LO,0,0,675,8,1-1C,1-1C,0, ,277.92960857262403,['1-1C']
4273,PA0438, ,680,Public Alley No 438,PUBLIC ALLEY 438,1,PUBLIC WAY, ,LO,0,0,680,8,1-1C,1-1C,0, ,280.290024903927,['1-1C']
4274,PA0439, ,616,Public Alley No 439,PUBLIC ALLEY 439,1,PUBLIC WAY, ,LO,0,0,616,8,1-1C,1-1C,0, ,253.654211877025,['1-1C']
4275,PA0440, ,619,Public Alley No 440,PUBLIC ALLEY 440,1,PUBLIC WAY, ,LO,0,0,619,8,1-1C,1-1C,0, ,255.05802762775298,['1-1C']
4276,PA0441, ,661,Public Alley No 441,PUBLIC ALLEY 441,1,PUBLIC WAY, ,LO,0,0,661,8,1-1C,1-1C,1, ,272.211889633031,['1-1C']
4277,PA0442, ,562,Public Alley No 442,PUBLIC ALLEY 442,1,PUBLIC WAY, ,LO,0,0,562,8,1-1C,1-1C,1, ,231.565889988442,['1-1C']
4278,PA0443, ,432,Public Alley No 443,PUBLIC ALLEY 443,1,PUBLIC WAY, ,LO,0,0,432,8,1-1C,1-1C,1, ,177.84505908044,['1-1C']
4279,PA0444, ,472,Public Alley No 444,PUBLIC ALLEY 444,1,PUBLIC WAY, ,LO,0,0,472,8,1-1C,1-1C,0, ,194.34459693791803,['1-1C']
4280,PA0502, ,484,Public Alley No 502,PUBLIC ALLEY 502,1,PUBLIC WAY, ,LO,0,0,484,7,1-1C,1-1C,1, ,199.76367212370099,['1-1C']
4281,PA0503, ,233,Public Alley No 503,PUBLIC ALLEY 503,1,PUBLIC WAY, ,LO,0,0,233,7,1-1C,1-1C,1, ,96.00913908785542,['1-1C']
4282,PA0539, ,272,Public Alley No 539,PUBLIC ALLEY 539,1,PUBLIC WAY, ,LO,0,0,272,2,1-1C,1-1C,1, ,112.093016090352,['1-1C']
4283,PA0542, ,268,Public Alley No 542,PUBLIC ALLEY 542,1,PUBLIC WAY, ,LO,0,0,268,2,1-1C,1-1C,1, ,110.414320538291,['1-1C']
4284,PA0543, ,273,Public Alley No 543,PUBLIC ALLEY 543,1,PUBLIC WAY, ,LO,0,0,273,2,1-1C,1-1C,1, ,112.58668704263799,['1-1C']
4285,PA0701, ,710,Public Alley No 701,PUBLIC ALLEY 701,1,PUBLIC WAY, ,LO,0,0,710,2,1-1C,1-1C,1, ,293.022539888863,['1-1C']
4286,PA0705, ,824,Public Alley No 705,PUBLIC ALLEY 705,1,PUBLIC WAY, ,LO,0,0,824,2,1-1C,1-1C,1, ,339.59255888156,['1-1C']
4287,PA0706, ,578,Public Alley No 706,PUBLIC ALLEY 706,1,PUBLIC WAY, ,LO,0,0,578,7,1-1C,1-1C,0, ,238.61448509378502,['1-1C']
4288,PA0710, ,406,Public Alley No 710,PUBLIC ALLEY 710,1,PUBLIC WAY, ,LO,0,0,406,2,1-1C,1-1C,0, ,167.439122701414,['1-1C']
4289,PA0714, ,113,Public Alley No 714,PUBLIC ALLEY 714,1,PUBLIC WAY, ,LO,0,0,113,2,1-1C,1-1C,1, ,46.7194709430615,['1-1C']
4290,PA0715, ,155,Public Alley No 715,PUBLIC ALLEY 715,1,PUBLIC WAY, ,LO,0,0,155,2,1-1C,1-1C,1, ,45.824892233239204,['1-1C']
4291,PA0716, ,608,Public Alley No 716,PUBLIC ALLEY 716,1,PUBLIC WAY, ,LO,0,0,608,2,1-1C,1-1C,1, ,250.927044797668,['1-1C']
4292,PA0718, ,243,Public Alley No 718,PUBLIC ALLEY 718,1,PUBLIC WAY, ,LO,0,0,243,2,1-1C,1-1C,1, ,100.097785668761,['1-1C']
4293,PA0719, ,551,Public Alley No 719,PUBLIC ALLEY 719,1,PUBLIC WAY, ,LO,0,0,551,2,1-1C,1-1C,1, ,227.42441160648,['1-1C']
4294,PA0801, ,554,Public Alley No 801,PUBLIC ALLEY 801,1,PUBLIC WAY, ,LO,0,0,554,8,1-10A,1-10A,1, ,228.50033775894298,['1-10A']
4295,PA0802, ,271,Public Alley No 802,PUBLIC ALLEY 802,1,PUBLIC WAY, ,LO,0,0,271,7,1-10B,1-10B,1, ,111.571554185116,['1-10B']
4296,PA0804, ,534,Public Alley No 804,PUBLIC ALLEY 804,1,PUBLIC WAY, ,LO,0,0,534,7,1-10B,1-10B,1, ,220.17823195207802,['1-10B']
4297,PA0807, ,501,Public Alley No 807,PUBLIC ALLEY 807,1,PUBLIC WAY, ,LO,0,0,501,8,1-10A,1-10A,1, ,207.01721575419103,['1-10A']
4298,PA0809, ,252,Public Alley No 809,PUBLIC ALLEY 809,1,PUBLIC WAY, ,LO,0,0,252,8,1-10A,1-10A,1, ,104.043785205299,['1-10A']
4299,PA0810, ,669,Public Alley No 810,PUBLIC ALLEY 810,1,PUBLIC WAY, ,LO,0,0,669,8,1-10A,1-10A,1, ,275.580809700545,['1-10A']
4300,PA0811, ,218,Public Alley No 811,PUBLIC ALLEY 811,1,PUBLIC WAY, ,LO,0,0,218,8,1-10A,1-10A,1, ,90.0835426532655,['1-10A']
4301,PA0818, ,913,Public Alley No 818,PUBLIC ALLEY 818,1,PUBLIC WAY, ,LO,0,0,913,8,1-10A,1-10A,1, ,375.99402857364,['1-10A']
4302,PA0819, ,272,Public Alley No 819,PUBLIC ALLEY 819,1,PUBLIC WAY, ,LO,0,0,272,8,1-10A,1-10A,1, ,112.541719011019,['1-10A']
4303,PA0820, ,280,Public Alley No 820,PUBLIC ALLEY 820,1,PUBLIC WAY, ,LO,0,0,348,8,1-10A,1-10A,1, ,115.41451732278601,['1-10A']
4304,PA0821, ,411,Public Alley No 821,PUBLIC ALLEY 821,1,PUBLIC WAY, ,LO,0,0,411,8,1-10A,1-10A,1, ,169.66835072230302,['1-10A']
